case,source,step,input_file,layer,pt_shape,onnx_shape,shape_match,mean_abs_diff,max_abs_diff,rmse,l2_diff,rel_l2,nrmse_rms,cosine_similarity,pt_mean,onnx_mean,pt_std,onnx_std
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,input.obs_flat,"[1, 4797]","[1, 4797]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999912,0.0038658688061467585,0.0038658688061467585,0.1548254128472844,0.1548254128472844
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,split.obs,"[1, 117]","[1, 117]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999826,0.07925031052600855,0.07925031052600855,0.6967276247452647,0.6967276247452647
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,split.obs_hist,"[1, 4680]","[1, 4680]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999826,0.0019812577631502138,0.0019812577631502138,0.11085497051425856,0.11085497051425856
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,adaptation_module.0,"[1, 256]","[1, 256]",True,2.0160950953140855e-07,5.7220458984375e-06,5.826512425588078e-07,9.322419880940924e-06,1.1227256951713393e-07,1.122725695171339e-07,0.9999999999999936,-0.7500984486032394,-0.750098441800219,5.135118363507489,5.135118353202939
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,adaptation_module.1,"[1, 256]","[1, 256]",True,1.1190422810614109e-07,5.7220458984375e-06,5.061919185101832e-07,8.099070696162932e-06,1.3902886634383654e-07,1.3902886634383654e-07,0.9999999999999901,0.3805063439067453,0.3805063443724066,3.6209746987626734,3.620974689877154
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,adaptation_module.2,"[1, 32]","[1, 32]",True,2.194778062403202e-06,1.1444091796875e-05,3.3489549786905677e-06,1.89445502025644e-05,2.3392777087647458e-07,2.3392777087647458e-07,0.9999999999999748,-6.8350575810763985,-6.835057673626579,12.579163449095148,12.579164377702694
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,adaptation_module.3,"[1, 32]","[1, 32]",True,7.121125236153603e-07,6.67572021484375e-06,1.62591011517808e-06,9.197536544337766e-06,4.4040246920675207e-07,4.40402469206752e-07,0.9999999999999021,1.00558851135429,1.0055887019261718,3.552283796826966,3.552283951401312
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,adaptation_module.4,"[1, 18]","[1, 18]",True,2.2558702362908258e-07,7.748603820800781e-07,3.1180380606377424e-07,1.3228715140048193e-06,3.4674906609520857e-07,3.467490660952086e-07,0.9999999999999051,0.009987393187152015,0.009987386150492562,0.8991648543550793,0.8991650881036579
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,concat.obs_latent,"[1, 135]","[1, 135]",True,3.007826981721101e-08,7.748603820800781e-07,1.1385465206473016e-07,1.3228715140048193e-06,1.5581015495083892e-07,1.5581015495083892e-07,0.9999999999999754,0.07001525488082767,0.07001525394260642,0.727364753079734,0.7273647916850183
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.0,"[1, 512]","[1, 512]",True,1.1791962606366724e-07,4.76837158203125e-07,1.4836095428502013e-07,3.357025178823843e-06,2.528036546962633e-07,2.5280365469626337e-07,0.9999999999999682,0.047731297454447486,0.04773130705325457,0.5849180929448226,0.5849181552250448
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.1,"[1, 512]","[1, 512]",True,1.0000530892284587e-07,4.76837158203125e-07,1.3037671648889736e-07,2.950088330820329e-06,2.535359335370288e-07,2.535359335370288e-07,0.999999999999966,0.10456013780731155,0.10456015827367082,0.5034912677940359,0.5034913182743109
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.2,"[1, 256]","[1, 256]",True,3.6834535421803594e-07,1.9073486328125e-06,4.881097869656524e-07,7.809756591450438e-06,3.1508446789165516e-07,3.150844678916551e-07,0.9999999999999603,0.048161662234633695,0.04816170445701573,1.548390637171839,1.5483908690379593
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.3,"[1, 256]","[1, 256]",True,2.5280314730480313e-07,1.9073486328125e-06,3.828467379219459e-07,6.1255478067511345e-06,3.173022674337102e-07,3.173022674337102e-07,0.9999999999999595,0.3638189468692872,0.36381905181042384,1.150409460925018,1.1504096275412237
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.4,"[1, 128]","[1, 128]",True,5.355977918952703e-07,3.337860107421875e-06,7.287547819302264e-07,8.244919169999787e-06,3.576861014645973e-07,3.576861014645973e-07,0.9999999999999448,0.032271714037051424,0.03227168828016147,2.0371587102359605,2.0371590080318964
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.5,"[1, 128]","[1, 128]",True,3.134773578494787e-07,3.337860107421875e-06,5.39178364236661e-07,6.100106841933012e-06,3.4056589682343125e-07,3.4056589682343135e-07,0.9999999999999485,0.5188665600435343,0.5188666539615951,1.4957432953615868,1.4957434937578509
train_step0,train,0,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step0.npz,actor.6,"[1, 12]","[1, 12]",True,4.4765571753184e-07,1.385807991027832e-06,5.850999022153706e-07,2.026845516281208e-06,2.4864112831667327e-07,2.486411283166732e-07,0.9999999999999626,-0.8456070447961489,-0.8456069050977627,2.1960085427286478,2.1960089174450546
train_step1,train,1,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step1.npz,input.obs_flat,"[1, 4797]","[1, 4797]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999943,0.008712092801002293,0.008712092801002293,0.19414221850153676,0.19414221850153676
train_step1,train,1,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step1.npz,split.obs,"[1, 117]","[1, 117]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999838,0.13897274715754276,0.13897274715754276,0.7134824176130287,0.7134824176130287
train_step1,train,1,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step1.npz,split.obs_hist,"[1, 4680]","[1, 4680]",True,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999918,0.005455576442088782,0.005455576442088782,0.15960028562979414,0.15960028562979414
train_step1,train,1,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step1.npz,adaptation_module.0,"[1, 256]","[1, 256]",True,5.33123966306448e-07,9.5367431640625e-06,1.2176390007512289e-06,1.9482224012019662e-05,1.5169021024685155e-07,1.5169021024685152e-07,0.9999999999999895,-1.5281808786676265,-1.5281809744192287,7.880335464578953,7.880335149660446
train_step1,train,1,/home/sail/Lite3/rl_training_new/lite3_debug/train/2026-02-12_13-02-05_parity_latest/debug_play_step1.npz,adaptation_module.1,"[1, 256]","[1, 256]",True,2.1653249859809875e-07,9.5367431640625e-06,8.938688326430145e-07,1.4301901322288232e-05,1.534196188355299e-07,1.534196188355299e-07,0.9999999999999896,0.7586877074791119,0.7586876314599067,5.776692203281616,5.776691876546381
